word,frequency
boar,17
cunning,17
age,17
become,17
tomorrow,17
truly,17
oxen,17
trees,17
times,17
achilles,17
cruel,17
suppose,17
form,17
neck,17
arrows,17
girl,17
carry,17
escort,17
mixed,17
public,17
unhappy,17
ran,17
mortal,17
chariot,17
upstairs,17
fallen,17
waiting,17
oars,17
bitterly,17
married,17
safely,17
exclaimed,16
love,16
rags,16
marriage,16
drunk,16
drinkofferings,16
strangers,16
converse,16
half,16
thinking,16
broke,16
heavy,16
clear,16
lived,16
mistress,16
skin,16
mankind,16
threshold,16
black,16
oil,16
sprang,16
fill,16
throughout,16
understand,16
forward,16
teiresias,16
atreus,16
hearts,16
oceanus,16
paying,16
worse,16
ten,16
passed,16
questions,16
demodocus,16
groaning,15
certain,15
really,15
cry,15
parents,15
remember,15
eaten,15
vessel,15
praying,15
need,15
sorry,15
mars,15
eye,15
foreign,15
bid,15
waters,15
drinkoffering,15
madam,15
plain,15
hair,15
meats,15
tramp,15
free,15
hung,15
goes,15
oath,15
wood,15
begging,15
hardly,15
six,15
feast,15
regards,15
pleased,15
respect,15
stockman,15
wild,15
cloaks,15
scylla,15
until,14
understanding,14
flocks,14
thigh,14
mainland,14
placed,14
prayer,14
welcome,14
battle,14
begin,14
embrace,14
tried,14
grew,14
fleet,14
autolycus,14
wave,14
minds,14
likely,14
third,14
handed,14
olive,14
slept,14
pay,14
running,14
field,14
fall,14
beginning,14
insolence,14
wise,14
venus,14
leaves,14
grief,14
diana,14
whereas,14
white,14
alas,14
blow,14
except,14
became,14
valiant,13
wrong,13
fit,13
tree,13
eurylochus,13
past,13
heads,13
irus,13
race,13
standing,13
beggar,13
lest,13
beach,13
forced,13
war,13
upper,13
lyre,13
journey,13
sign,13
ought,13
thence,13
fate,13
lose,13
kissed,13
mine,13
grown,13
arete,13
hither,13
visit,13
grow,13
nausicaa,13
immortals,13
speaking,13
pleasure,13
feasting,13
please,13
sandals,13
account,13
beat,13
sorrows,13
counsel,13
hospitality,13
sacked,13
seems,13
fond,13
banquet,13
stream,13
hidden,12
showed,12
pity,12
benches,12
olympus,12
spoken,12
sad,12
pass,12
luck,12
cyclopes,12
creature,12
dulichium,12
next,12
foremost,12
stronger,12
crete,12
