word,frequency
locked,17
letter,17
bust,17
natural,17
hours,17
beautiful,17
its,17
reckn,17
send,17
above,17
rain,17
spread,17
born,17
turns,17
notice,17
real,17
thatcher,17
catched,17
telling,17
kings,17
likely,17
dear,17
making,17
neck,17
further,17
dah,17
noise,17
stuck,17
george,17
store,17
sold,17
nice,17
sort,17
ones,17
wall,17
truck,16
snakes,16
sense,16
children,16
crying,16
seemed,16
stuff,16
shucks,16
ain,16
hang,16
honest,16
sheet,16
death,16
phelps,16
uneasy,16
frauds,16
clear,16
lived,16
william,16
quarter,16
drownded,16
regular,16
die,16
sherburn,16
sung,16
eye,16
coat,16
account,16
waked,16
longer,16
outside,16
spose,16
worse,16
knows,16
stick,16
shove,16
 in,16
looky,16
wild,16
orleans,15
son,15
inside,15
yards,15
having,15
clumb,15
chaw,15
standing,15
slip,15
sister,15
letters,15
count,15
smoke,15
ther,15
begin,15
louis,15
fence,15
takes,15
stayed,15
 all,15
dis,15
jump,15
handy,15
sings,15
lose,15
friends,15
 here,15
shoulder,15
deal,15
miles,15
pay,15
nuther,15
mos,15
weve,15
witches,15
fur,15
letting,15
others,15
grabbed,15
tight,15
leaves,15
straw,15
laughed,15
mother,15
setting,15
wide,15
 pretty,15
gets,15
illinois,15
played,14
chain,14
thinks,14
knees,14
rode,14
books,14
lonesome,14
break,14
bread,14
mostly,14
dream,14
held,14
yo,14
since,14
lie,14
liked,14
quit,14
kin,14
lawyer,14
 is,14
 one,14
theyll,14
paddle,14
blue,14
fault,14
afraid,14
heah,14
brass,14
short,14
wouldn,14
arm,14
 im,14
walk,14
 where,14
sich,14
kinds,14
 my,13
hot,13
wrong,13
wind,13
listen,13
paddled,13
funeral,13
didn,13
sah,13
borrow,13
breath,13
wants,13
watched,13
signs,13
missed,13
play,13
gold,13
cry,13
 yes,13
bother,13
flung,13
forty,13
notion,13
england,13
ornery,13
remember,13
candles,13
opened,13
 do,13
gentlemen,13
nine,13
 this,13
alive,13
state,13
save,13
mad,13
track,13
nearly,13
fine,13
breast,13
raise,13
beat,13
midnight,13
taking,13
soft,13
cussing,13
twice,13
wilks,13
tie,13
dasnt,13
hungry,13
grindstone,13
style,13
pray,13
hunted,13
govment,12
dozen,12
child,12
fairly,12
troubles,12
stranger,12
lightningrod,12
learn,12
un,12
snake,12
truth,12
 ,12
law,12
logs,12
months,12
drop,12
cairo,12
lady,12
cave,12
oclock,12
whisky,12
gray,12
honey,12
ef,12
lovely,12
jest,12
rock,12
slept,12
part,12
understand,12
ourselves,12
putting,12
tearing,12
fooling,12
eight,12
dressed,12
school,12
kinder,12
picture,12
cool,12
 everybody,12
sweet,12
rip,12
few,12
looks,12
watching,12
sky,12
boggs,12
tear,11
st,11
pulled,11
polly,11
harelip,11
pull,11
mumps,11
kitchen,11
cow,11
gracious,11
true,11
fifty,11
tracks,11
houses,11
lid,11
slide,11
 how,11
lights,11
seven,11
daytime,11
jackson,11
tuck,11
stretched,11
wake,11
robbers,11
fellow,11
fish,11
twenty,11
fun,11
cellar,11
names,11
laugh,11
buy,11
property,11
rat,11
ferryboat,11
reward,11
except,11
 en,11
afeard,11
somewheres,11
questions,11
generly,11
please,11
weather,11
legs,10
rolled,10
steps,10
believed,10
square,10
rush,10
pick,10
begged,10
wisht,10
touch,10
overboard,10
early,10
jist,10
great,10
rough,10
hope,10
tick,10
blanket,10
band,10
fellows,10
air,10
voice,10
blamed,10
change,10
worry,10
listening,10
t,10
bilgewater,10
dirt,10
pictures,10
rapscallions,10
seeing,10
crossed,10
need,10
key,10
whatever,10
even,10
weeks,10
loud,10
street,10
edge,10
watermelon,10
juliet,10
near,10
floating,10
mark,10
speech,10
pan,10
yesterday,10
either,10
sing,10
stock,10
cavern,10
uncles,10
crawled,10
circus,10
solemn,10
auction,10
ruther,10
 some,10
thirty,10
streak,10
pens,10
moon,10
whah,10
susan,10
po,10
oars,10
injun,10
 ive,9
stern,9
fair,9
love,9
nation,9
gimme,9
rags,9
small,9
nothn,9
grace,9
self,9
private,9
throwed,9
d,9
uv,9
sides,9
walked,9
sent,9
sundayschool,9
bend,9
counted,9
lines,9
royal,9
plates,9
float,9
bound,9
 who,9
crept,9
happen,9
shepherdsons,9
 de,9
heels,9
awhile,9
chop,9
stars,9
dreadful,9
evening,9
dug,9
crack,9
grand,9
chairs,9
dull,9
betwixt,9
nonesuch,9
captain,9
dry,9
surprise,9
woodpile,9
loaded,9
 just,9
yelling,9
sawed,9
shake,9
nose,9
forget,9
dollar,9
beginning,9
neednt,9
yard,9
south,9
whoop,9
curtain,9
general,9
plain,9
shooting,9
raf,9
tolerable,9
row,9
acoming,9
hut,9
alas,9
 come,9
 dey,9
missouri,9
bushes,9
kase,9
 says,9
budge,9
roun,9
monstrous,9
 of,9
painted,9
cussed,8
spiders,8
thunder,8
sixteen,8
plate,8
pocket,8
happy,8
chair,8
tore,8
 your,8
sollermun,8
million,8
sophia,8
baggage,8
resk,8
meal,8
daytimes,8
dress,8
guess,8
sea,8
majesty,8
devil,8
surprised,8
curious,8
pale,8
apiece,8
chap,8
hello,8
scratch,8
kiss,8
tonight,8
studying,8
bedleg,8
rooms,8
become,8
watchman,8
saved,8
foolishness,8
wore,8
bang,8
iron,8
sun,8
tough,8
mistake,8
hank,8
harney,8
prisoners,8
brothers,8
 sometimes,8
hears,8
whenever,8
ring,8
yit,8
 look,8
traps,8
banks,8
slouch,8
hairball,8
heavy,8
wonderful,8
seventeen,8
lives,8
moren,8
ride,8
poetry,8
goshen,8
mam,8
neither,8
powwow,8
kissed,8
warm,8
meat,8
stealing,8
snakeskin,8
study,8
afternoon,8
lies,8
dim,8
main,8
texas,8
wonder,8
agwyne,8
shepherdson,8
mixed,8
landed,8
particular,8
dem,8
sharp,8
blood,8
 every,8
secret,8
shouting,8
excited,8
outn,8
ashamed,8
hugged,8
le,8
red,8
sack,8
swim,8
certain,8
already,8
rag,8
rogers,8
mum,8
willows,8
level,8
branches,8
rose,8
lets,8
jug,8
grass,8
wife,8
follow,8
worst,8
hill,8
thread,8
bell,8
parlor,8
crick,8
 oh,8
undertaker,8
carried,8
brought,7
spoke,7
wash,7
pooty,7
laughing,7
adventures,7
wives,7
lowdown,7
gown,7
tead,7
wherever,7
ignorant,7
bite,7
axe,7
bright,7
spare,7
swum,7
handsome,7
hunting,7
past,7
pass,7
followed,7
company,7
keeping,7
testament,7
holes,7
fresh,7
garden,7
gentle,7
 buck,7
bring,7
handle,7
fools,7
lan,7
blieve,7
speak,7
holding,7
chin,7
birds,7
drove,7
mrs,7
husband,7
mournful,7
twelve,7
los,7
vines,7
trunk,7
amount,7
hogs,7
passed,7
smart,7
 these,7
providence,7
suits,7
boots,7
danger,7
hiding,7
tobacco,7
shoulders,7
broad,7
mustnt,7
beats,7
rights,7
thirtyseven,7
third,7
deck,7
begins,7
sees,7
palace,7
tells,7
jailed,7
sorts,7
butter,7
